time;H_sun;temp;wind_speed
20180115:2310;0.0;4.98;1.79
20180116:0010;0.0;5.21;1.86
20180116:0110;0.0;5.44;2.0
20180116:0210;0.0;5.06;1.86
20180116:0310;0.0;4.87;1.79
20180116:0410;0.0;5.01;1.66
20180116:0510;0.0;5.12;1.52
20180116:0610;0.0;4.9;1.66
20180116:0710;4.4;6.24;1.86
20180116:0810;12.91;6.7;1.93
20180116:0910;19.77;7.24;2.28
20180116:1010;24.42;7.92;2.28
20180116:1110;26.36;8.63;2.48
20180116:1210;25.33;9.22;2.69
20180116:1310;21.47;9.74;2.69
20180116:1410;15.23;9.63;2.97
20180116:1510;7.18;9.67;2.69
20180116:1610;0.0;9.24;2.55
20180116:1710;0.0;8.81;2.34
20180116:1810;0.0;8.76;2.14
20180116:1910;0.0;9.06;2.14
20180116:2010;0.0;9.08;2.07
20180116:2110;0.0;8.99;2.14
20180116:2210;0.0;8.93;2.14
20180116:2310;0.0;8.73;2.34
20180117:0010;0.0;9.06;2.62
20180117:0110;0.0;9.23;2.69
20180117:0210;0.0;9.51;2.69
20180117:0310;0.0;9.46;2.62
20180117:0410;0.0;9.45;2.76
20180117:0510;0.0;9.28;2.76
20180117:0610;0.0;9.53;2.83
20180117:0710;4.5;9.4;2.55
20180117:0810;13.02;9.77;2.48
20180117:0910;19.91;10.66;3.17
20180117:1010;24.59;11.42;3.24
20180117:1110;26.55;11.91;3.79
20180117:1210;25.54;11.77;4.55
20180117:1310;21.68;11.51;4.21
20180117:1410;15.44;10.69;4.48
20180117:1510;7.38;9.8;3.59
20180117:1610;0.0;8.56;3.03
20180117:1710;0.0;7.47;2.9
20180117:1810;0.0;6.16;2.48
20180117:1910;0.0;5.91;2.41
20180117:2010;0.0;4.58;2.34
20180117:2110;0.0;3.08;2.07
20180117:2210;0.0;2.21;1.86
20180117:2310;0.0;2.22;1.52
20180118:0010;0.0;3.5;1.1
20180118:0110;0.0;3.94;0.69
20180118:0210;0.0;3.2;0.76
20180118:0310;0.0;2.13;1.03
20180118:0410;0.0;0.44;1.17
20180118:0510;0.0;-0.9;1.24
20180118:0610;0.0;-1.34;1.24
20180118:0710;4.6;-1.46;1.38
20180118:0810;13.15;-0.06;1.1
20180118:0910;20.06;4.15;1.03
20180118:1010;24.77;6.62;1.52
20180118:1110;26.75;8.1;2.07
20180118:1210;25.75;8.88;2.83
20180118:1310;21.89;9.21;3.31
20180118:1410;15.65;9.27;3.52
20180118:1510;7.59;8.49;2.76
20180118:1610;0.0;7.44;2.55
20180118:1710;0.0;6.56;2.28
20180118:1810;0.0;6.55;2.14
20180118:1910;0.0;6.5;2.34
20180118:2010;0.0;6.42;2.14
20180118:2110;0.0;6.08;2.14
20180118:2210;0.0;6.0;2.14
20180118:2310;0.0;6.29;2.21
20180119:0010;0.0;6.51;2.14
20180119:0110;0.0;6.57;2.14
20180119:0210;0.0;6.78;2.14
