,Timestamp,Power (W),temp,press,humid
93,2018-11-02,54582.976388888885,17.720000000000027,1008,50
94,2018-11-03,49339.98541666667,17.69999999999999,1008,50
95,2018-11-04,46968.35277777778,17.680000000000007,1008,50
96,2018-11-05,73576.90486111112,17.680000000000007,1008,50
97,2018-11-06,82455.84652777779,17.680000000000007,1008,50
98,2018-11-07,77046.13472222222,17.680000000000007,1008,50
99,2018-11-08,78989.68194444444,17.680000000000007,1008,50
100,2018-11-09,78317.48055555555,17.720000000000027,1008,50
101,2018-11-10,59210.58263888889,17.680000000000007,1008,50
102,2018-11-11,55292.28402777778,17.680000000000007,1008,50
103,2018-11-12,90578.3861111111,17.720000000000027,1008,50
104,2018-11-13,90049.72638888888,17.720000000000027,1008,50
105,2018-11-14,86880.07291666667,17.720000000000027,1008,50
